Nombre,Marca,Categorias,Precio Original,Precio Final,Moneda,Estado,Descripcion,Fecha de captura
NESCAFE DOLCE GUSTO café Espresso Intenso Extra Crema Premium arábica y robusta de Colombia y Vietnam estuche 16 cápsulas intensidad 7,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",4.25,4.09,EUR,AVAILABLE,,2020-04-11
NESCAFE DOLCE GUSTO café Cortado Espresso Macchiatto selección Robusta estuche 16 cápsulas,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",4.25,4.09,EUR,AVAILABLE,,2020-04-11
"NESCAFE DOLCE GUSTO café Cappuccino Premium arábica y robusta de Colombia, Brasil y Vietnam intensidad 9 estuche 8 cápsulas de café + 8 cápsulas de leche",,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",4.25,4.09,EUR,AVAILABLE,,2020-04-11
NESCAFE DOLCE GUSTO café con leche selección Robusta estuche 16 cápsulas,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",4.25,4.09,EUR,AVAILABLE,,2020-04-11
VIAGGIO Espresso Ristreto 01 café italiano intensidad 11 caja 10 cápsulas compatibles con máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",3.09,3.09,EUR,AVAILABLE,Lleva 3 y paga 2,2020-04-11
VIAGGIO Espresso Intenso 02 café italiano intensidad 12 caja 10 cápsulas compatibles con máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",3.29,3.29,EUR,AVAILABLE,Lleva 3 y paga 2,2020-04-11
VIAGGIO Espresso Colombia 12 café italiano intensidad 9 caja 10 cápsulas compatibles con máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",3.09,3.09,EUR,AVAILABLE,Lleva 3 y paga 2,2020-04-11
VIAGGIO Espresso Lungo 06 café italiano intensidad 9 caja 10 cápsulas compatibles con máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",3.09,3.09,EUR,AVAILABLE,Lleva 3 y paga 2,2020-04-11
VIAGGIO Espresso Vainilla 08 café italiano intensidad 8 caja 10 cápsulas compatibles con máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",3.09,3.09,EUR,AVAILABLE,Lleva 3 y paga 2,2020-04-11
PELLINI ESPRESSO Luxury Coffee Absolut café espresso arábica 100% estuche 10 cápsulas compatibles con máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",3.49,3.49,EUR,AVAILABLE,2ª unidad al 70% de descuento,2020-04-11
PELLINI ESPRESSO Top café arábica 100% estuche 10 cápsulas compatibles con máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",3.49,3.49,EUR,AVAILABLE,2ª unidad al 70% de descuento,2020-04-11
PELLINI ESPRESSO Luxury Coffee Magnífico café espresso arábica 100% estuche 10 cápsulas compatibles con máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",3.49,3.49,EUR,AVAILABLE,2ª unidad al 70% de descuento,2020-04-11
SEGAFREDO Espresso Casa café tueste medio intensidad 10 estuche 10 cápsulas compostables y compatibles con Máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",2.99,2.39,EUR,AVAILABLE,,2020-04-11
SEGAFREDO Massimo café tueste medio intensidad 9 estuche 10 cápsulas compostables y compatibles con Máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",2.99,2.39,EUR,AVAILABLE,,2020-04-11
SEGAFREDO Crema Ricca café tueste medio intensidad 11 estuche 10 cápsulas compostables y compatibles con Máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",2.99,2.39,EUR,AVAILABLE,,2020-04-11
SEGAFREDO Le Origini Brasile café 100% arábica intensidad 8 estuche 10 cápsulas compostables y compatibles con Máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",3.19,2.55,EUR,AVAILABLE,,2020-04-11
SEGAFREDO Le Origini Costa Rica café 100% arábica intensidad 7 estuche 10 cápsulas compostables y compatibles con Máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",3.19,2.55,EUR,AVAILABLE,,2020-04-11
SEGAFREDO Le Origini Perú café 100% arábica intensidad 9 estuche 10 cápsulas compostables y compatibles con Máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",3.19,2.55,EUR,AVAILABLE,,2020-04-11
LALANDE café espresso intenso estuche 20 cápsulas compostables compatibles con máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",4.19,3.79,EUR,AVAILABLE,,2020-04-11
